Unnamed: 0,ID,Age,Title,Review Text,Ratings,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Cleaned Review,Cleaned Title,Sentiment
29,4,28,Great layering piece,"This sweater is so comfy and classic - it balances a quirky hand-knit look with a beautiful color and practical fit. it is a bit cropped and boxy as part of the style, and as others mentioned, there are gaps in the knit that make it see-through. in my opinion this makes it perfect for layering! i like having a longer camisole showing underneath, or wearing it over a little dress. it's warm but still thin enough to fit under a jacket or coat.",5,1,0,General,Tops,Sweaters,this sweater is so comfy and classic it balances a quirky handknit look with a beautiful color and practical fit it is a bit cropped and boxy as part of the style and as others mentioned there are gaps in the knit that make it seethrough in my opinion this makes it perfect for layering i like having a longer camisole showing underneath or wearing it over a little dress its warm but still thin enough to fit under a jacket or coat,great layering piece,Positive
31,1060,46,Cuter in oerson!,"I never would have given these pants a second look online, in person they are much cuter! the stripes are brighter and the fit more flattering. the crop has a cute flare which is right on trend. this brand has always run small for me, i am 5'8 about 140lbs and carry some chubbiness in the belly. i paired it with a collarless loose navy blazer.??????",5,1,7,General Petite,Bottoms,Pants,i never would have given these pants a second look online in person they are much cuter the stripes are brighter and the fit more flattering the crop has a cute flare which is right on trend this brand has always run small for me i am about lbs and carry some chubbiness in the belly i paired it with a collarless loose navy blazer,cuter in oerson,Positive
32,1060,21,Love these pants,These pants are even better in person. the only downside is that they need to be dry cleaned.????????,5,1,0,General Petite,Bottoms,Pants,these pants are even better in person the only downside is that they need to be dry cleaned,love these pants,Positive
33,949,36,Mehh,"I ordered this 3 months ago, and it finally came off back order. a huge disappointment. the fit wasn&#39;t so much the issue for me. the quality of the wool is subpar. someone else mentioned a &quot;felted wool&quot;...i guess, is that what you call it?  it does literally feel like felt! super thin, itchy, doesn&#39;t drape very well, and feels cheap (made in china). i got it on sale, but still not worth what i paid. definitely going back.????",2,0,0,General,Tops,Sweaters,i ordered this months ago and it finally came off back order a huge disappointment the fit wasnt so much the issue for me the quality of the wool is subpar someone else mentioned a quotfelted woolquoti guess is that what you call it it does literally feel like felt super thin itchy doesnt drape very well and feels cheap made in china i got it on sale but still not worth what i paid definitely going back,mehh,Negative
34,697,39,Love this dress!,"This is such a neat dress. the color is great and the fabric is super soft. i am tall so the long length was an added bonus. it definitely needs something underneath since the front gaps. i am going to pair it with a funky tank top, necklaces and boots. super cute!!????",5,1,0,Initmates,Intimate,Lounge,this is such a neat dress the color is great and the fabric is super soft i am tall so the long length was an added bonus it definitely needs something underneath since the front gaps i am going to pair it with a funky tank top necklaces and boots super cute,love this dress,Positive
35,1060,65,Lovely!,"This is a comfortable skirt that can span seasons easily. while not the most exciting design, it is a good work skirt that can be paired with many tops.??????",4,1,3,General Petite,Bottoms,Pants,this is a comfortable skirt that can span seasons easily while not the most exciting design it is a good work skirt that can be paired with many tops,lovely,Positive
37,949,38,Beautifully cut lightweight coat,"Just ordered this in a small for me (5'6"", 135, size 4) and medium for my mom (5'3"", 130, size 8) and it is gorgeous - beautifully draped, all the weight/warmth i'll need for houston fall and winter, looks polished snapped or unsnapped. age-appropriate for both my mom (60's) and myself (30's). will look amazing with skinny jeans or leggings. we ordered the gray which is true to the photos.??",5,1,1,General,Tops,Sweaters,just ordered this in a small for me size and medium for my mom size and it is gorgeous beautifully draped all the weightwarmth ill need for houston fall and winter looks polished snapped or unsnapped ageappropriate for both my mom s and myself s will look amazing with skinny jeans or leggings we ordered the gray which is true to the photos,beautifully cut lightweight coat,Positive
42,910,23,Soft & lovely,"This poncho is so cute i love the plaid check design, the colors look like sorbet & cream and it will pair well with a turtleneck and jeans or pencil skirt and heels. i love this look for fall and it can roll right into spring. great buy!!",5,1,0,General,Tops,Fine gauge,this poncho is so cute i love the plaid check design the colors look like sorbet cream and it will pair well with a turtleneck and jeans or pencil skirt and heels i love this look for fall and it can roll right into spring great buy,soft lovely,Positive
43,89,67,Some things you should know...,"First, this is thermal ,so naturally i didn't expect super sheer, but it is. really sheer light fabric. i like it, but be prepared for considering who you might run into if you walk around the house in it. second, it is large. i ordered the size 0 and it's a nice oversized fit for my 5'3"" 125 pounds. i wouldn't want to go larger. along with being sheer, the fabric is easily stretched, which i don't mind in this case. finally, the color. it looks white on my monitor and shows a colorful blue dot",4,1,1,Initmates,Intimate,Sleep,first this is thermal so naturally i didnt expect super sheer but it is really sheer light fabric i like it but be prepared for considering who you might run into if you walk around the house in it second it is large i ordered the size and its a nice oversized fit for my pounds i wouldnt want to go larger along with being sheer the fabric is easily stretched which i dont mind in this case finally the color it looks white on my monitor and shows a colorful blue dot,some things you should know,Positive
44,862,48,Beautiful!,"Tried this on today at my local retailer and had to have it. it is so comfortable and flattering. it's too bad the picture online has the model tucking it into the skirt because you can't see the ruching across the front. a little dressier alternative to a plain tee and reasonably priced for retailer. 5'8"""" and i generally wear a 6, the small fit well. will probably be back for the black!",5,1,9,General,Tops,Knits,tried this on today at my local retailer and had to have it it is so comfortable and flattering its too bad the picture online has the model tucking it into the skirt because you cant see the ruching across the front a little dressier alternative to a plain tee and reasonably priced for retailer and i generally wear a the small fit well will probably be back for the black,beautiful,Positive
45,862,43,Love the two tone design,I bought this item from online... the fit on the model looked a little loose but when i got mine it seemed a bit tight! so i took it back to the store & ordered a larger size. for the sale price this is a great top.,4,1,0,General,Tops,Knits,i bought this item from online the fit on the model looked a little loose but when i got mine it seemed a bit tight so i took it back to the store ordered a larger size for the sale price this is a great top,love the two tone design,Positive
48,910,56,Love the color!,"This sweater is perfect for fall...it's roomy, warm, super comfy and the color really pops.",5,1,0,General,Tops,Fine gauge,this sweater is perfect for fallits roomy warm super comfy and the color really pops,love the color,Positive
49,862,33,Love the embroidery!,"Really cute top! the embroidery on the collar & bib of this top is beautiful and unique, received lots of compliments & questions about where i got it. i'm rather busty up top and the medium fit well, a small probably would've fit better but it's still super adorable.",5,1,0,General,Tops,Knits,really cute top the embroidery on the collar bib of this top is beautiful and unique received lots of compliments questions about where i got it im rather busty up top and the medium fit well a small probably wouldve fit better but its still super adorable,love the embroidery,Positive
50,862,46,Cute for fall,"This is a cute top that can transition easily from summer to fall. it fits well, nice print and it's comfortable. i tried this on in the store, but did not purchase it because the color washed me out. this is not the best color for a blonde. would look much better on a brunette. if this was in a different color i most likely would have purchased it.",4,1,1,General,Tops,Knits,this is a cute top that can transition easily from summer to fall it fits well nice print and its comfortable i tried this on in the store but did not purchase it because the color washed me out this is not the best color for a blonde would look much better on a brunette if this was in a different color i most likely would have purchased it,cute for fall,Positive
51,862,41,Love,"I absolutely love this bib tee! it's probably my favorite retailer purchase of all time. i'm 5'7"", 140 pounds and the small was a perfect fit for me. i typically wear either a s or m tops.",5,1,2,General,Tops,Knits,i absolutely love this bib tee its probably my favorite retailer purchase of all time im pounds and the small was a perfect fit for me i typically wear either a s or m tops,love,Positive
53,862,39,Flattering and comfortable,"Very soft and comfortable. the shirt has an unusual, asymmetrical seam that appears along the front, right-hand side of the garment. (the model is positioned so that you can't see this detail from the picture. i attached a picture that includes the front seam.) i actually like the seam - it creates more visual interest, and adds a little bit of ruching that helps hide my belly. the cowl neck is very well done - there are two layers that form the cowl, and i've found that it means wardrobe malfun",5,1,34,General,Tops,Knits,very soft and comfortable the shirt has an unusual asymmetrical seam that appears along the front righthand side of the garment the model is positioned so that you cant see this detail from the picture i attached a picture that includes the front seam i actually like the seam it creates more visual interest and adds a little bit of ruching that helps hide my belly the cowl neck is very well done there are two layers that form the cowl and ive found that it means wardrobe malfun,flattering and comfortable,Positive
54,862,66,Cute top,"Nice top. armholes are a bit oversized but as an older woman, i'm picky about that. the print is pretty and unusual. it just didn't look great on me. there's a slight peplum in the back that hangs nicely. it's a lightweight tee fabric that's opaque. i tried it on with a black bra which was barely visible. great for warmer climates but there are so many gorgeous tops out now, that i decided to return since summer is winding down. i do recommend.",4,1,2,General,Tops,Knits,nice top armholes are a bit oversized but as an older woman im picky about that the print is pretty and unusual it just didnt look great on me theres a slight peplum in the back that hangs nicely its a lightweight tee fabric thats opaque i tried it on with a black bra which was barely visible great for warmer climates but there are so many gorgeous tops out now that i decided to return since summer is winding down i do recommend,cute top,Positive
55,862,61,Soft and cute as can be!,This is an adorable top that i find to be extremely comfortable. i don't usually buy prints but this one is so feminine and looks great with dark wash jeans. i am a 36d and the medium was a perfect fit.,5,1,2,General,Tops,Knits,this is an adorable top that i find to be extremely comfortable i dont usually buy prints but this one is so feminine and looks great with dark wash jeans i am a d and the medium was a perfect fit,soft and cute as can be,Positive
57,862,31,"Boring front, great back",This tank fit well and i loved the ruffle in the back and how it layed. but the front was not a good look and i will be retuning it.,3,0,0,General,Tops,Knits,this tank fit well and i loved the ruffle in the back and how it layed but the front was not a good look and i will be retuning it,boring front great back,Neutral
59,368,52,Soft and comfortable,"I've been looking for bralettes that provide some support but not binding/tight for night time and casual wear. this is a light weight bra, could be a little more supportive. pretty color, with nice lines. only downside is the retailer tag on the back - itchy (i need to remove it.)",4,1,1,Initmates,Intimate,Intimates,ive been looking for bralettes that provide some support but not bindingtight for night time and casual wear this is a light weight bra could be a little more supportive pretty color with nice lines only downside is the retailer tag on the back itchy i need to remove it,soft and comfortable,Positive
60,1095,41,Gorgeous dress!,"This dress is simply beautiful and stunning. it is so figure flattering and i can't wait to wear it. size small worked for me, and since i'm tall it fell right to my ankle which is perfect for me. i could not be happier with the purchase and the keyhole in the back is a beautiful detail.",5,1,0,General Petite,Dresses,Dresses,this dress is simply beautiful and stunning it is so figure flattering and i cant wait to wear it size small worked for me and since im tall it fell right to my ankle which is perfect for me i could not be happier with the purchase and the keyhole in the back is a beautiful detail,gorgeous dress,Positive
61,368,36,Itchy tags,"3 tags sewn in, 2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however, this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!.????",1,0,0,Initmates,Intimate,Intimates,tags sewn in small about long and huge about x very itchy so i cut them out then the thread left behind was plasticy and even more itchy how can you make an intimates item with such itchy tags not comfortable at all also i love bralettes and wear them all the time including to work i am a b cup however this one is so thin and flimsy that it gives no support even to a b cup so for me this would only be a lounging bralette if it wasnt so itchy,itchy tags,Negative
62,862,28,Must have,I recently got this on sale after looking at it forever on my wish list. i'm so happy with it. its very comfortable and just long enough for my torso (5'3). the pattern on the front is very flattering.,5,1,0,General,Tops,Knits,i recently got this on sale after looking at it forever on my wish list im so happy with it its very comfortable and just long enough for my torso the pattern on the front is very flattering,must have,Positive
63,862,57,Cute top! love the brand,"Very comfortable shirt, light weight top with lovely floral colors. great for spring/summer with white jeans. love everything one september makes!",5,1,1,General,Tops,Knits,very comfortable shirt light weight top with lovely floral colors great for springsummer with white jeans love everything one september makes,cute top love the brand,Positive
64,862,43,Love this top,Loved this top and was really happy to find it on sale!,5,1,0,General,Tops,Knits,loved this top and was really happy to find it on sale,love this top,Positive
66,862,60,Super cute and unique top,"Just received this in the mail, tried it on and am smitten. i'm usually a l, but sometimes i'm a xl (if no stretch), in retailer tops. i bought this one in l and i'm sure glad i did. very flowy, stretchy and comfortable. i also bought the meda lace top from one september and they are very similar expect this is more of a t-shirt and the other is more of a blouse. i almost think i could've gotten a m in this because there is a lot of extra fabric at the chest which is usually never the issue for me",4,1,9,General,Tops,Knits,just received this in the mail tried it on and am smitten im usually a l but sometimes im a xl if no stretch in retailer tops i bought this one in l and im sure glad i did very flowy stretchy and comfortable i also bought the meda lace top from one september and they are very similar expect this is more of a tshirt and the other is more of a blouse i almost think i couldve gotten a m in this because there is a lot of extra fabric at the chest which is usually never the issue for me,super cute and unique top,Positive
67,862,40,Beautiful top,"Love this top! i kept eyeing it online and wavering on size, since my post-baby body is a little wonky. i went with the xsp, and miraculously, it works perfectly! so, i would say it does run just a little large..... i love the length, and usually do not go with petite sizes at retailer because i like the longer lengths of the regular. but this is perfect on me, and there is give up top, so it looks lovely. and it is very soft and comfortable. this will be a go-to top this season!",5,1,1,General,Tops,Knits,love this top i kept eyeing it online and wavering on size since my postbaby body is a little wonky i went with the xsp and miraculously it works perfectly so i would say it does run just a little large i love the length and usually do not go with petite sizes at retailer because i like the longer lengths of the regular but this is perfect on me and there is give up top so it looks lovely and it is very soft and comfortable this will be a goto top this season,beautiful top,Positive
68,862,37,I wanted to love this top...,"I really loved this top online and wanted to love it in person. it is soft and the patter is okay in person. the neckline is higher than i am used to. also, there are two buttons in the back that must be unbuttoned in order to wear the top. it is difficult to button them behind your neck with the top on. unfortunately i had to return this item...????",2,0,0,General,Tops,Knits,i really loved this top online and wanted to love it in person it is soft and the patter is okay in person the neckline is higher than i am used to also there are two buttons in the back that must be unbuttoned in order to wear the top it is difficult to button them behind your neck with the top on unfortunately i had to return this item,i wanted to love this top,Negative
69,1078,56,Great summer fabric!,"I really wanted this to work. alas, it had a strange fit for me. the straps would not stay up, and it had a weird fit under the breast. it worked standing up, but the minute i sat down it fell off my shoulders. the fabric was beautiful! and i loved that it had pockets.??????",3,0,1,General Petite,Dresses,Dresses,i really wanted this to work alas it had a strange fit for me the straps would not stay up and it had a weird fit under the breast it worked standing up but the minute i sat down it fell off my shoulders the fabric was beautiful and i loved that it had pockets,great summer fabric,Neutral
